"NSDUH_data.ID" "NSDUH_data.NEWRACE" "NSDUH_data.NEWRACE2"
"1053" 1053 7 7
"1054" 1054 7 7
"1055" 1055 7 7
"1056" 1056 7 7
"1057" 1057 1 1
"1058" 1058 2 2
"1059" 1059 2 2
"1060" 1060 1 1
"1061" 1061 1 1
"1062" 1062 1 1
"1063" 1063 3 3
"1064" 1064 2 2
"1065" 1065 7 7
"1066" 1066 1 1
"1067" 1067 7 7
"1068" 1068 1 1
"1069" 1069 1 1
"1070" 1070 1 1
"1071" 1071 7 7
"1072" 1072 5 5
"1073" 1073 2 2
"1074" 1074 7 7
"1075" 1075 7 7
"1076" 1076 2 2
"1077" 1077 2 2
"1078" 1078 2 2
"1079" 1079 1 1
"1080" 1080 7 7
"1081" 1081 1 1
"1082" 1082 1 1
"1083" 1083 2 2
"1084" 1084 5 5
"1085" 1085 7 7
"1086" 1086 1 1
"1087" 1087 1 1
"1088" 1088 7 7
"1089" 1089 7 7
"1090" 1090 7 7
"1091" 1091 1 1
"1092" 1092 6 6
"1093" 1093 1 1
"1094" 1094 2 2
"1095" 1095 1 1
"1096" 1096 1 1
"1097" 1097 1 1
"1098" 1098 1 1
"1099" 1099 7 7
"1100" 1100 7 7
"1101" 1101 2 2
"1102" 1102 6 6
"1103" 1103 1 1
"1104" 1104 2 2
"1105" 1105 1 1
"1106" 1106 1 1
"1107" 1107 1 1
"1108" 1108 2 2
"1109" 1109 5 5
"1110" 1110 2 2
"1111" 1111 1 1
"1112" 1112 1 1
"1113" 1113 1 1
"1114" 1114 5 5
"1115" 1115 1 1
"1116" 1116 1 1
"1117" 1117 7 7
"1118" 1118 1 1
"1119" 1119 3 3
"1120" 1120 2 2
"1121" 1121 1 1
"1122" 1122 1 1
"1123" 1123 1 1
"1124" 1124 1 1
"1125" 1125 5 5
"1126" 1126 1 1
"1127" 1127 1 1
"1128" 1128 1 1
"1129" 1129 2 2
"1130" 1130 3 3
"1131" 1131 1 1
"1132" 1132 1 1
"1133" 1133 7 7
"1134" 1134 2 2
"1135" 1135 1 1
"1136" 1136 1 1
"1137" 1137 1 1
"1138" 1138 1 1
"1139" 1139 7 7
"1140" 1140 1 1
"1141" 1141 7 7
"1142" 1142 7 7
"1143" 1143 1 1
"1144" 1144 7 7
"1145" 1145 1 1
"1146" 1146 6 6
"1147" 1147 7 7
"1148" 1148 1 1
"1149" 1149 1 1
"1150" 1150 1 1
"1151" 1151 3 3
"1152" 1152 7 7
"1153" 1153 1 1
"1154" 1154 1 1
"1155" 1155 7 7
"1156" 1156 1 1
"1157" 1157 5 5
"1158" 1158 1 1
"1159" 1159 1 1
"1160" 1160 6 6
"1161" 1161 1 1
"1162" 1162 1 1
"1163" 1163 7 7
"1164" 1164 1 1
"1165" 1165 6 6
"1166" 1166 7 7
"1167" 1167 1 1
"1168" 1168 3 3
"1169" 1169 2 2
"1170" 1170 7 7
"1171" 1171 2 2
"1172" 1172 2 2
"1173" 1173 2 2
"1174" 1174 1 1
"1175" 1175 1 1
"1176" 1176 1 1
"1177" 1177 1 1
"1178" 1178 7 7
"1179" 1179 1 1
"1180" 1180 1 1
"1181" 1181 1 1
"1182" 1182 4 4
"1183" 1183 1 1
"1184" 1184 1 1
"1185" 1185 1 1
"1186" 1186 7 7
"1187" 1187 2 2
"1188" 1188 1 1
"1189" 1189 7 7
"1190" 1190 1 1
"1191" 1191 7 7
"1192" 1192 6 6
"1193" 1193 2 2
"1194" 1194 1 1
"1195" 1195 7 7
"1196" 1196 7 7
"1197" 1197 2 2
"1198" 1198 1 1
"1199" 1199 7 7
"1200" 1200 1 1
"1201" 1201 4 4
"1202" 1202 6 6
"1203" 1203 1 1
"1204" 1204 1 1
"1205" 1205 2 2
"1206" 1206 7 7
"1207" 1207 7 7
"1208" 1208 1 1
"1209" 1209 7 7
"1210" 1210 1 1
"1211" 1211 7 7
"1212" 1212 2 2
"1213" 1213 1 1
"1214" 1214 1 1
"1215" 1215 1 1
"1216" 1216 7 7
"1217" 1217 5 5
"1218" 1218 1 1
"1219" 1219 2 2
"1220" 1220 5 5
"1221" 1221 2 2
"1222" 1222 1 1
"1223" 1223 1 1
"1224" 1224 1 1
"1225" 1225 2 2
"1226" 1226 1 1
"1227" 1227 6 6
"1228" 1228 1 1
"1229" 1229 7 7
"1230" 1230 2 2
"1231" 1231 7 7
"1232" 1232 2 2
"1233" 1233 2 2
"1234" 1234 1 1
"1235" 1235 2 2
"1236" 1236 1 1
"1237" 1237 1 1
"1238" 1238 7 7
"1239" 1239 2 2
"1240" 1240 1 1
"1241" 1241 1 1
"1242" 1242 1 1
"1243" 1243 1 1
"1244" 1244 6 6
"1245" 1245 2 2
"1246" 1246 5 5
"1247" 1247 1 1
"1248" 1248 7 7
"1249" 1249 1 1
"1250" 1250 7 7
"1251" 1251 7 7
"1252" 1252 2 2
"1253" 1253 1 1
"1254" 1254 1 1
"1255" 1255 7 7
"1256" 1256 1 1
"1257" 1257 1 1
"1258" 1258 7 7
"1259" 1259 7 7
"1260" 1260 2 2
"1261" 1261 2 2
"1262" 1262 5 5
"1263" 1263 1 1
"1264" 1264 1 1
"1265" 1265 1 1
"1266" 1266 5 5
"1267" 1267 1 1
"1268" 1268 1 1
"1269" 1269 1 1
"1270" 1270 1 1
"1271" 1271 1 1
"1272" 1272 1 1
"1273" 1273 1 1
"1274" 1274 2 2
"1275" 1275 1 1
"1276" 1276 1 1
"1277" 1277 1 1
"1278" 1278 7 7
"1279" 1279 7 7
"1280" 1280 1 1
"1281" 1281 1 1
"1282" 1282 1 1
"1283" 1283 1 1
"1284" 1284 7 7
"1285" 1285 1 1
"1286" 1286 2 2
"1287" 1287 2 2
"1288" 1288 7 7
"1289" 1289 7 7
"1290" 1290 1 1
"1291" 1291 1 1
"1292" 1292 1 1
"1293" 1293 1 1
"1294" 1294 1 1
"1295" 1295 1 1
"1296" 1296 1 1
"1297" 1297 2 2
"1298" 1298 1 1
"1299" 1299 1 1
"1300" 1300 2 2
"1301" 1301 1 1
"1302" 1302 2 2
"1303" 1303 2 2
"1304" 1304 7 7
"1305" 1305 1 1
"1306" 1306 1 1
"1307" 1307 1 1
"1308" 1308 1 1
"1309" 1309 1 1
"1310" 1310 1 1
"1311" 1311 1 1
"1312" 1312 2 2
"1313" 1313 7 7
